Titulo,Precio,Imagen,Detalles,Ubicación,Link
Curso Facebook Básico a Nivel Medio ,29990,https://comunidadc.cl/repoimg/default//2020/07/1592534842603560/ORI-1593651685547325.jpeg,"El participante podrá crear campañas de Facebook, desarrollar publicidad, visibilizar su empresa su empresa. definir estrategias y conjuntos de anuncios, contenidos (imágenes o vídeos). ",San Javier,https://comunidadc.cl/info-producto/?id=1593701597113705&tipoProd=PROD
Calza Texturizada,8000,https://comunidadc.cl/repoimg/default//2021/02/1612402513126467/1612922197230733-full.jpeg,"Calza Texturizada, expandex ",Linares,https://comunidadc.cl/info-producto/?id=1612922214096434&tipoProd=PROD
Plan semanal avanzado Æ Consultor,160000,https://comunidadc.cl/repoimg/default//2020/06/1592577160126937/1592598267430800-full.png,Consultoría y outsourcingDelega los cambios que tu negocio necesitaTrabaja con un profesional que será tu co-piloto generando cambios en tu negocioEl precio corresponde a 1 semana de suscripción,Talca,https://comunidadc.cl/info-producto/?id=1592602738084475&tipoProd=PROD
MAXIMA CALIPSO MULTICOLOR,20000,https://comunidadc.cl/repoimg/default//2021/02/1612294088284620/1612820667912950-full.jpeg,"Dentro de nuestra colección Máxima, de aros redondos de 5 cm de diámetro, encuentras este hermoso diseño con tonalidades Calipso Multicolor.",Talca,https://comunidadc.cl/info-producto/?id=1612827020201173&tipoProd=PROD
ROMANCE NARANJO INTENSO,17000,https://comunidadc.cl/repoimg/default//2021/02/1612294088284620/1612821598959188-full.jpeg,Dentro de  nuestra Colección Romance encuentras este hermoso y delicado diseño redondo de 3 cm de diámetro con tonalidades Naranjo Intenso.,Talca,https://comunidadc.cl/info-producto/?id=1612821604381745&tipoProd=PROD
Vestido,7000,https://comunidadc.cl/repoimg/default//2021/02/1612402513126467/1612922736479716-full.jpeg,Vestido CalipsoTalla S,Linares,https://comunidadc.cl/info-producto/?id=1612922741980745&tipoProd=PROD
Plan semanal básico Æ Consultor,80000,https://comunidadc.cl/repoimg/default//2020/06/1592577160126937/1592598118938379-full.png,Consultoría y outsourcingDelega los cambios que tu negocio necesitaTrabaja con un profesional que será tu co-piloto generando cambios en tu negocioEl precio corresponde a 1 semana de suscripción,Talca,https://comunidadc.cl/info-producto/?id=1592598130470756&tipoProd=PROD
Polera Algodon,7500,https://comunidadc.cl/repoimg/default//2021/02/1612402513126467/1612923433884607-full.jpeg,Polera Algodón,Linares,https://comunidadc.cl/info-producto/?id=1612923441846060&tipoProd=PROD
MAXIMA AMARILLO,20000,https://comunidadc.cl/repoimg/default//2021/02/1612294088284620/1612820317266484-full.jpeg,"Dentro de nuestra colección Máxima, de aros redondos de 5 cm de diámetro, encuentras este hermoso diseño con tonalidades Amarillo. ",Talca,https://comunidadc.cl/info-producto/?id=1612820324663209&tipoProd=PROD
Almendras enteras,10500,https://comunidadc.cl/repoimg/default//2020/08/1595516530657454/ORI-1596769037802001.jpeg,Almendras enteras non pareil,Talca,https://comunidadc.cl/info-producto/?id=1596769042103202&tipoProd=PROD
FUSION TURQUESA,20000,https://comunidadc.cl/repoimg/default//2021/02/1612294088284620/1612821978703376-full.jpeg,"Dentro de nuestra colección Fusión, de aros alargados, encuentras este hermoso diseño con tonalidades Turquesa.",Talca,https://comunidadc.cl/info-producto/?id=1612827056369732&tipoProd=PROD
LINEA COLORES,18000,https://comunidadc.cl/repoimg/default//2021/02/1612294088284620/1612821281152012-full.jpeg,En esta colección encuentras 4 pares de aros apegados en diferentes tonalidades¡Ideales para  combinarlas con tus diferentes tenidas!,Talca,https://comunidadc.cl/info-producto/?id=1612821286543104&tipoProd=PROD
Camisas Fantasía Premium,8980,https://comunidadc.cl/repoimg/default//2021/02/1612402513126467/1612923231834849-full.jpeg,"Planchado Fácil, variedad de colores",Linares,https://comunidadc.cl/info-producto/?id=1612923236729348&tipoProd=PROD
Tapado de Gasa,9000,https://comunidadc.cl/repoimg/default//2021/02/1612402513126467/1612921604126313-full.jpeg,"Tapado de Gasa sin mangas, varios colores y diseños",Linares,https://comunidadc.cl/info-producto/?id=1612921609698032&tipoProd=PROD
